WD_4,WS_1,WS_2,WS_3,WS_4,WD_1,WD_2,WD_3,WD_4,TEMP_1,RH_1,BP_1,AD_1
105.0,8.273888439655174,8.358072931034485,8.15924555172414,7.481120474137934,109.85775862068968,108.96293103448279,104.55172413793105,105.66724137931033,11.081224137931033,73.45318965517241,977.0611448275866,1.1935712097081126
115.0,8.328909094936712,8.40846473417722,8.278941424050634,7.632272639240506,119.87151898734173,119.18417721518975,114.86329113924052,114.54936708860754,12.148803797468354,59.68246835443035,978.682674683545,1.1918424956604403
125.0,8.650957265217391,8.73718294782609,8.629883200000007,7.836728069565224,130.858695652174,130.49434782608697,126.44608695652171,125.12391304347825,11.997734782608697,55.82069565217389,978.0589304347828,1.1921279473848192
135.0,8.880598523622051,8.958849208661416,8.890541086614178,7.940015161417329,140.9263779527559,140.87992125984258,136.98779527559043,134.80866141732272,12.584468503937005,56.8932283464567,976.608575590551,1.1878457355453824
145.0,8.927497229166667,8.991375406250006,8.936069802083331,8.01805905555556,153.35833333333335,153.97569444444437,149.9743055555556,145.20729166666666,12.600625000000003,62.75038194444442,976.2783829861114,1.1869057527041236
155.0,9.475027169197396,9.527554689804765,9.429258251626898,8.435642301518447,162.19501084598684,163.1251626898048,159.2360086767896,155.29934924078094,13.871403470715837,61.63262472885035,974.7748650759227,1.1793408288653238
165.0,9.709441774193548,9.747412786600496,9.707141300248137,8.778548918114145,169.88263027295267,171.05682382134003,167.2565756823822,164.66898263027298,15.076868486352351,59.30846153846154,974.4860230769216,1.1739327656460217
175.0,10.216561563237768,10.238349182124791,10.252641158516019,9.434738170320413,179.0392917369307,180.43827993254658,176.52883642495786,175.27133220910633,18.399988195615517,59.055446880269905,972.1483569983134,1.1566840254911008
185.0,10.182112202160482,10.191567396604942,10.230488929012353,9.517888183641968,188.08564814814804,189.59413580246908,185.6574074074074,184.8254629629628,20.683969135802464,56.515447530864144,972.2729959876538,1.1473484243342307
195.0,9.998263747747751,10.071743055555569,9.950565945945945,9.224729731231228,197.14268768768778,198.65509009009006,194.23570570570578,195.00855855855863,17.018852852852877,52.424219219219204,973.4542021021022,1.1651263916718657
